DATE,CSUSHPISA
2003-01-01,128.461
2003-02-01,129.355
2003-03-01,130.148
2003-04-01,130.884
2003-05-01,131.735
2003-06-01,132.649
2003-07-01,133.77700000000002
2003-08-01,134.969
2003-09-01,136.29399999999998
2003-10-01,137.531
2003-11-01,138.79399999999998
2003-12-01,140.179
2004-01-01,141.64600000000002
2004-02-01,143.192
2004-03-01,145.059
2004-04-01,146.593
2004-05-01,148.186
2004-06-01,149.85
2004-07-01,151.338
2004-08-01,152.63299999999998
2004-09-01,154.179
2004-10-01,155.75
2004-11-01,157.52700000000002
2004-12-01,159.33
2005-01-01,161.28799999999998
2005-02-01,163.344
2005-03-01,165.812
2005-04-01,167.50099999999998
2005-05-01,169.351
2005-06-01,171.19
2005-07-01,172.86
2005-08-01,174.442
2005-09-01,176.438
2005-10-01,178.028
2005-11-01,179.68
2005-12-01,180.91
2006-01-01,182.321
2006-02-01,183.287
2006-03-01,184.364
2006-04-01,184.329
2006-05-01,184.15599999999998
2006-06-01,183.507
2006-07-01,183.06799999999998
2006-08-01,182.59400000000002
2006-09-01,182.798
2006-10-01,183.19799999999998
2006-11-01,183.609
2006-12-01,184.139
2007-01-01,184.517
2007-02-01,184.59799999999998
2007-03-01,184.15
2007-04-01,183.01
2007-05-01,181.6
2007-06-01,180.25400000000002
2007-07-01,179.111
2007-08-01,178.11599999999999
2007-09-01,177.558
2007-10-01,176.62400000000002
2007-11-01,175.14700000000002
2007-12-01,174.342
2008-01-01,173.132
2008-02-01,171.541
2008-03-01,170.053
2008-04-01,168.338
2008-05-01,166.65900000000002
2008-06-01,165.017
2008-07-01,163.566
2008-08-01,161.987
2008-09-01,160.308
2008-10-01,158.327
2008-11-01,156.142
2008-12-01,153.619
2009-01-01,151.507
2009-02-01,150.015
2009-03-01,148.66
2009-04-01,147.94899999999998
2009-05-01,147.694
2009-06-01,148.09
2009-07-01,148.41
2009-08-01,148.278
2009-09-01,148.025
2009-10-01,147.85
2009-11-01,148.134
2009-12-01,147.929
2010-01-01,147.39600000000002
2010-02-01,145.631
2010-03-01,145.859
2010-04-01,146.403
2010-05-01,146.394
2010-06-01,145.721
2010-07-01,144.991
2010-08-01,143.916
2010-09-01,143.019
2010-10-01,142.531
2010-11-01,142.173
2010-12-01,142.06
2011-01-01,141.52100000000002
2011-02-01,140.35
2011-03-01,139.981
2011-04-01,140.01
2011-05-01,139.905
2011-06-01,139.862
2011-07-01,139.73
2011-08-01,139.309
2011-09-01,138.668
2011-10-01,137.952
2011-11-01,137.15200000000002
2011-12-01,136.674
2012-01-01,136.607
2012-02-01,136.533
2012-03-01,137.904
2012-04-01,139.154
2012-05-01,140.155
2012-06-01,141.03
2012-07-01,141.66899999999998
2012-08-01,142.279
2012-09-01,142.908
2012-10-01,143.6
2012-11-01,144.585
2012-12-01,145.503
2013-01-01,146.827
2013-02-01,147.784
2013-03-01,149.963
2013-04-01,151.519
2013-05-01,152.85
2013-06-01,154.2
2013-07-01,155.60399999999998
2013-08-01,156.965
2013-09-01,158.227
2013-10-01,159.24200000000002
2013-11-01,160.07399999999998
2013-12-01,160.994
2014-01-01,161.92700000000002
2014-02-01,162.525
2014-03-01,163.086
2014-04-01,163.393
2014-05-01,163.66
2014-06-01,164.06400000000002
2014-07-01,164.579
2014-08-01,165.215
2014-09-01,165.905
2014-10-01,166.641
2014-11-01,167.335
2014-12-01,168.051
2015-01-01,168.63400000000001
2015-02-01,169.12900000000002
2015-03-01,169.799
2015-04-01,170.298
2015-05-01,170.88
2015-06-01,171.47099999999998
2015-07-01,172.13299999999998
2015-08-01,172.93599999999998
2015-09-01,173.828
2015-10-01,174.792
2015-11-01,175.738
2015-12-01,176.544
2016-01-01,177.274
2016-02-01,177.649
2016-03-01,178.16400000000002
2016-04-01,178.766
2016-05-01,179.429
2016-06-01,180.084
2016-07-01,180.834
2016-08-01,181.85
2016-09-01,182.82299999999998
2016-10-01,183.75
2016-11-01,184.75900000000001
2016-12-01,185.725
2017-01-01,186.805
2017-02-01,187.313
2017-03-01,187.99200000000002
2017-04-01,188.72400000000002
2017-05-01,189.61599999999999
2017-06-01,190.513
2017-07-01,191.45
2017-08-01,192.66299999999998
2017-09-01,193.75900000000001
2017-10-01,194.805
2017-11-01,195.958
2017-12-01,197.178
2018-01-01,198.31400000000002
2018-02-01,199.227
2018-03-01,199.96099999999998
2018-04-01,200.655
2018-05-01,201.423
2018-06-01,202.237
2018-07-01,202.907
2018-08-01,203.688
2018-09-01,204.35299999999998
2018-10-01,205.12
2018-11-01,205.679
2018-12-01,206.169
2019-01-01,206.53900000000002
2019-02-01,206.84799999999998
2019-03-01,207.047
2019-04-01,207.50599999999997
2019-05-01,208.138
2019-06-01,208.65900000000002
2019-07-01,209.262
2019-08-01,210.102
2019-09-01,210.91299999999998
2019-10-01,211.808
2019-11-01,212.805
2019-12-01,213.955
2020-01-01,214.99400000000003
2020-02-01,215.83700000000002
2020-03-01,216.365
2020-04-01,216.801
2020-05-01,216.987
2020-06-01,217.63
2020-07-01,219.322
2020-08-01,222.424
2020-09-01,225.85299999999998
2020-10-01,229.78099999999998
2020-11-01,233.235
2020-12-01,236.521
2021-01-01,239.55900000000003
2021-02-01,242.325
2021-03-01,245.40200000000002
2021-04-01,249.055
2021-05-01,253.426
2021-06-01,258.381
2021-07-01,262.707
2021-08-01,266.921
2021-09-01,270.402
2021-10-01,273.769
2021-11-01,277.251
2021-12-01,281.393
2022-01-01,285.921
2022-02-01,291.09
2022-03-01,296.353
2022-04-01,300.55
2022-05-01,303.796
2022-06-01,304.755
2022-07-01,303.714
2022-08-01,301.596
2022-09-01,299.38
2022-10-01,298.922
2022-11-01,298.312
2022-12-01,297.471
2023-01-01,297.025
2023-02-01,297.464
2023-03-01,298.539
2023-04-01,300.198
2023-05-01,302.62
2023-06-01,304.651
2023-07-01,306.634
