DATE,MORTGAGE30US
2003-01-01,5.9160000000000000
2003-02-01,5.8425000000000000
2003-03-01,5.7450000000000000
2003-04-01,5.8125000000000000
2003-05-01,5.4840000000000000
2003-06-01,5.2300000000000000
2003-07-01,5.6325000000000000
2003-08-01,6.2640000000000000
2003-09-01,6.1475000000000000
2003-10-01,5.9520000000000000
2003-11-01,5.9325000000000000
2003-12-01,5.8760000000000000
2004-01-01,5.7125000000000000
2004-02-01,5.6350000000000000
2004-03-01,5.4450000000000000
2004-04-01,5.8300000000000000
2004-05-01,6.2700000000000000
2004-06-01,6.2875000000000000
2004-07-01,6.0560000000000000
2004-08-01,5.8675000000000000
2004-09-01,5.7540000000000000
2004-10-01,5.7225000000000000
2004-11-01,5.7300000000000000
2004-12-01,5.7520000000000000
2005-01-01,5.7100000000000000
2005-02-01,5.6275000000000000
2005-03-01,5.9280000000000000
2005-04-01,5.8550000000000000
2005-05-01,5.7200000000000000
2005-06-01,5.5820000000000000
2005-07-01,5.6950000000000000
2005-08-01,5.8200000000000000
2005-09-01,5.7740000000000000
2005-10-01,6.0650000000000000
2005-11-01,6.3300000000000000
2005-12-01,6.2720000000000000
2006-01-01,6.1450000000000000
2006-02-01,6.2525000000000000
2006-03-01,6.3240000000000000
2006-04-01,6.5075000000000000
2006-05-01,6.5975000000000000
2006-06-01,6.6820000000000000
2006-07-01,6.7625000000000000
2006-08-01,6.5240000000000000
2006-09-01,6.4025000000000000
2006-10-01,6.3575000000000000
2006-11-01,6.2400000000000000
2006-12-01,6.1350000000000000
2007-01-01,6.2175000000000000
2007-02-01,6.2850000000000000
2007-03-01,6.1560000000000000
2007-04-01,6.1800000000000000
2007-05-01,6.2620000000000000
2007-06-01,6.6575000000000000
2007-07-01,6.6950000000000000
2007-08-01,6.5720000000000000
2007-09-01,6.3825000000000000
2007-10-01,6.3750000000000000
2007-11-01,6.2080000000000000
2007-12-01,6.0950000000000000
2008-01-01,5.7580000000000000
2008-02-01,5.9175000000000000
2008-03-01,5.9700000000000000
2008-04-01,5.9175000000000000
2008-05-01,6.0360000000000000
2008-06-01,6.3200000000000000
2008-07-01,6.4260000000000000
2008-08-01,6.4775000000000000
2008-09-01,6.0375000000000000
2008-10-01,6.2000000000000000
2008-11-01,6.0875000000000000
